,"iShares MSCI Hong Kong ETF - GARCH Volatility"
2022-11-30,0.3154975270901501
2022-12-01,0.3078525510695015
2022-12-02,0.29557233835391294
2022-12-05,0.2828077771207857
2022-12-06,0.2864066549506139
2022-12-07,0.29604148357958215
2022-12-08,0.31918468384306914
2022-12-09,0.3076132708450661
2022-12-12,0.294115391640764
2022-12-13,0.3020266862381535
2022-12-14,0.2920146249762159
2022-12-15,0.2855098975517311
2022-12-16,0.2734446532664334
2022-12-19,0.263798786957029
2022-12-20,0.25279978085433535
2022-12-21,0.24385595174200692
2022-12-22,0.23667672128876555
2022-12-23,0.23513227596397734
2022-12-27,0.24740327564525091
2022-12-28,0.2580257568538459
2022-12-29,0.25448717610127236
2022-12-30,0.2541238005382416
2023-01-03,0.26744089216124
2023-01-04,0.2915969073910078
2023-01-05,0.2820225501622166
2023-01-06,0.270484658344979
2023-01-09,0.2599330813882681
2023-01-10,0.24911640170811716
2023-01-11,0.239237418477963
2023-01-12,0.23275607059752493
2023-01-13,0.22333435472403257
2023-01-17,0.22015573124495305
2023-01-18,0.21193401425915567
2023-01-19,0.21187068792072208
2023-01-20,0.21001511945571916
2023-01-23,0.21094437655457896
2023-01-24,0.20282297798819543
2023-01-25,0.19506301750972682
2023-01-26,0.18757845398659195
2023-01-27,0.18246723103067028
2023-01-30,0.1774356029662593
2023-01-31,0.1806807726350538
2023-02-01,0.1789642198876636
2023-02-02,0.17894253379227645
2023-02-03,0.17653808880805297
2023-02-06,0.17271508330195137
2023-02-07,0.16789631800608373
2023-02-08,0.16402284840838488
2023-02-09,0.1733789883463391
2023-02-10,0.18063760073694515
2023-02-13,0.17431850504177693
2023-02-14,0.16816761638317887
2023-02-15,0.17812846038744062
2023-02-16,0.17162545615380018
2023-02-17,0.1781067432749249
2023-02-21,0.17363693155547297
2023-02-22,0.16745627011252817
2023-02-23,0.17586368471063035
2023-02-24,0.1794750545340494
2023-02-27,0.182687930635825
2023-02-28,0.17736692138051
2023-03-01,0.2018930994363106
2023-03-02,0.20289794676141995
2023-03-03,0.1950747087656419
2023-03-06,0.18769945870992807
2023-03-07,0.190829082689196
2023-03-08,0.18742833190315705
2023-03-09,0.1839599315068366
2023-03-10,0.20693941722156273
2023-03-13,0.20512216945030587
2023-03-14,0.20079564537110858
2023-03-15,0.20972279704409819
2023-03-16,0.20141072364697962
2023-03-17,0.19468186048011768
2023-03-20,0.18773040243924263
2023-03-21,0.18138381074395807
2023-03-22,0.18254165552004836
2023-03-23,0.17865670768263922
2023-03-24,0.17225121189704296
2023-03-27,0.16684560887239436
2023-03-28,0.1615868175316291
2023-03-29,0.1584000363636322
2023-03-30,0.15629299101367278
2023-03-31,0.1527670049454397
2023-04-03,0.16228149986982499
2023-04-04,0.15698287906647654
2023-04-05,0.1540769544091523
2023-04-06,0.1548552424685713
2023-04-10,0.14983112854143493
2023-04-11,0.14547337859553547
2023-04-12,0.14714513692269957
2023-04-13,0.14992602455878032
2023-04-14,0.15308234137221707
2023-04-17,0.15966882726443504
2023-04-18,0.15429160936356845
2023-04-19,0.15693729078839103
2023-04-20,0.15252791875587893
2023-04-21,0.14960961078754267
2023-04-24,0.14924805888184944
2023-04-25,0.1608173833887369
2023-04-26,0.1679937748846665
2023-04-27,0.17546487853698814
2023-04-28,0.1709093338586281
2023-05-01,0.16489869981294578
2023-05-02,0.17844111970058918
2023-05-03,0.17193389194687592
2023-05-04,0.17014051369382896
2023-05-05,0.16412675101883908
2023-05-08,0.15846165618218183
2023-05-09,0.16931448254653234
2023-05-10,0.1633357266491321
2023-05-11,0.15830703635656881
2023-05-12,0.17295121508679842
2023-05-15,0.21040868233036392
2023-05-16,0.2180856969175191
2023-05-17,0.21486133202603022
2023-05-18,0.20733231586031156
2023-05-19,0.20051263002614075
2023-05-22,0.19410791019430407
2023-05-23,0.2037581978718893
2023-05-24,0.19938988540043853
2023-05-25,0.20548892816889186
2023-05-26,0.2100617309268873
2023-05-30,0.2265449677216424
2023-05-31,0.21840986516180994
2023-06-01,0.21276093062402227
2023-06-02,0.2453231982507973
2023-06-05,0.23548247323314744
2023-06-06,0.22881317619402952
2023-06-07,0.22210183880373435
2023-06-08,0.22050891410553
2023-06-09,0.21206797778071068
2023-06-12,0.20449816820695485
2023-06-13,0.1991955993489816
2023-06-14,0.19153447313734415
2023-06-15,0.184383690168084
2023-06-16,0.1784625843139116
2023-06-20,0.1883736956159219
2023-06-21,0.1827886681389194
2023-06-22,0.17607133667919944
2023-06-23,0.19828016542256566
2023-06-26,0.19062660045229785
2023-06-27,0.19371986578562353
2023-06-28,0.18685698381382485
2023-06-29,0.1855060376375928
2023-06-30,0.17937105117604682
2023-07-03,0.1755277003780315
2023-07-05,0.16998573940186865
2023-07-06,0.212615314594222
2023-07-07,0.20414197412585192
2023-07-10,0.19639711199505963
2023-07-11,0.19568079006381797
2023-07-12,0.19318721696841124
2023-07-13,0.20877150667655778
2023-07-14,0.20363040048087122
2023-07-17,0.1957899660350346
2023-07-18,0.19426629661369468
2023-07-19,0.18684160885627163
2023-07-20,0.1798447230251697
2023-07-21,0.17404658686685012
2023-07-24,0.16785593823275957
2023-07-25,0.16212404140040426
2023-07-26,0.16920252125781104
2023-07-27,0.16324637208832546
2023-07-28,0.18683210002566475
2023-07-31,0.17988206136243826
2023-08-01,0.18772932855576938
2023-08-02,0.1976967769084767
2023-08-03,0.19531516070187693
2023-08-04,0.21525042438982553
2023-08-07,0.2069875126668273
2023-08-08,0.21351744191049127
2023-08-09,0.20500763790649362
2023-08-10,0.19769543849062376
2023-08-11,0.2039050720310802
2023-08-14,0.19860500295813296
2023-08-15,0.2053372348114194
2023-08-16,0.20443771569844935
2023-08-17,0.19670103914316264
2023-08-18,0.19824394063879985
2023-08-21,0.2016446825482884
2023-08-22,0.19394919953431103
2023-08-23,0.19959578753069918
2023-08-24,0.19249397081467254
2023-08-25,0.18517359963018484
2023-08-28,0.19159478802931984
2023-08-29,0.21853864829819003
2023-08-30,0.20979968446115455
2023-08-31,0.20604628120885854
2023-09-01,0.21023572769631713
2023-09-05,0.21844049624554512
2023-09-06,0.20966210816454176
2023-09-07,0.21953778626924345
2023-09-08,0.2106810954974366
2023-09-11,0.20607257459448602
2023-09-12,0.19935980337068956
2023-09-13,0.19165120505752112
2023-09-14,0.18481165872314442
2023-09-15,0.1795162599877794
2023-09-18,0.17419138784681637
2023-09-19,0.16794058949521404
2023-09-20,0.16282068787472923
2023-09-21,0.17421865571746328
2023-09-22,0.1935888261238236
2023-09-25,0.2048087761791472
2023-09-26,0.2099315888569417
2023-09-27,0.20622537671198468
2023-09-28,0.19930411435793294
2023-09-29,0.19704178135613779
2023-10-02,0.19037321135075702
2023-10-03,0.19358368422984412
2023-10-04,0.18747417422141108
2023-10-05,0.1828535906128179
2023-10-06,0.19374581595482263
2023-10-09,0.18728865208549075
2023-10-10,0.19117673184778528
2023-10-11,0.18581028389193102
2023-10-12,0.18009963242605465
2023-10-13,0.186723827081602
2023-10-16,0.18210786803430545
2023-10-17,0.17545475314165757
2023-10-18,0.18393753287461484
2023-10-19,0.19288911944430667
2023-10-20,0.18626156125191262
2023-10-23,0.17947343981770672
2023-10-24,0.18909244405845516
2023-10-25,0.20189578301688227
2023-10-26,0.19497514918573597
2023-10-27,0.19138850749195993
2023-10-30,0.18807225632718932
2023-10-31,0.18689844943177034
2023-11-01,0.17997029754934563
2023-11-02,0.19523114915402204
2023-11-03,0.217222150804194
2023-11-06,0.20910969274521926
2023-11-07,0.21228562174579793
2023-11-08,0.2107708452324467
2023-11-09,0.20458434837494288
2023-11-10,0.19746822225360716
2023-11-13,0.19891974562621983
2023-11-14,0.21511340544001434
2023-11-15,0.22575866494998592
2023-11-16,0.2349945710011191
2023-11-17,0.22627739789912735
2023-11-20,0.2250953717871605
2023-11-21,0.22148369149894534
2023-11-22,0.2127713533349826
2023-11-24,0.20533649846045393
2023-11-27,0.20566158610688579
2023-11-28,0.1997450915542107
2023-11-29,0.211575807690766
2023-11-30,0.2078537524318481
2023-12-01,0.2001230271607943
2023-12-04,0.19729976178394132
2023-12-05,0.21614114555077202
2023-12-06,0.20870565109742475
2023-12-07,0.20075956066897538
2023-12-08,0.19297467294958684
2023-12-11,0.18730816106085715
2023-12-12,0.18046362292717055
2023-12-13,0.1770043219811313
2023-12-14,0.2152263645560181
2023-12-15,0.21049513628585342
2023-12-18,0.2024180901006627
2023-12-19,0.19756926785307477
2023-12-20,0.2144876304125718
2023-12-21,0.24322082558859964
2023-12-22,0.23365425996544553
2023-12-26,0.22428455051563403
2023-12-27,0.21724013165158965
2023-12-28,0.2173999797608086
2023-12-29,0.20873517097029912
2024-01-02,0.2329405400526066
2024-01-03,0.22362680161376006
2024-01-04,0.22366567550699415
2024-01-05,0.2146013886255166
2024-01-08,0.20789066645715484
2024-01-09,0.2082546671745918
2024-01-10,0.2001031304102962
2024-01-11,0.19402753206697243
2024-01-12,0.18792319920648434
2024-01-16,0.2299442602023369
2024-01-17,0.25841490127312705
2024-01-18,0.24888049180279279
2024-01-19,0.2410310751749658
2024-01-22,0.25969642046050617
2024-01-23,0.28086643444883197
2024-01-24,0.28817400368527346
2024-01-25,0.2756676738393532
2024-01-26,0.2656765717936002
2024-01-29,0.2559308914531421
2024-01-30,0.26295574836842794
2024-01-31,0.25558278111015226
2024-02-01,0.25101351915783343
2024-02-02,0.25142614661168394
2024-02-05,0.24172226293827387
2024-02-06,0.2718132049772417
2024-02-07,0.26054086512483987
2024-02-08,0.25423092494816596
2024-02-09,0.24433116133641242
2024-02-12,0.23914860484644268
2024-02-13,0.2429270186702171
2024-02-14,0.23627561194503335
2024-02-15,0.2279623547869253
2024-02-16,0.22459236674473157
2024-02-20,0.21964869951811689
2024-02-21,0.24457542640257215
2024-02-22,0.23461496883191404
2024-02-23,0.2253633945431245
2024-02-26,0.2173439274514013
2024-02-27,0.20860836895963691
2024-02-28,0.20886231828647311
2024-02-29,0.20062005582692874
2024-03-01,0.19383560663613897
2024-03-04,0.18661967741907606
2024-03-05,0.20185221722834754
2024-03-06,0.20010552316215563
2024-03-07,0.19287010965932488
2024-03-08,0.1863159413469497
2024-03-11,0.19958158331870202
2024-03-12,0.20804861354981438
2024-03-13,0.20030332997731218
2024-03-14,0.2108951521491189
2024-03-15,0.20628481669769105
2024-03-18,0.20955474797770632
2024-03-19,0.20253277956913543
2024-03-20,0.19481895595654955
2024-03-21,0.18872853838251386
2024-03-22,0.19651050658934247
2024-03-25,0.19163805571962997
2024-03-26,0.18585740663207376
2024-03-27,0.17899815194576732
2024-03-28,0.17497668644708073
2024-04-01,0.17124878744096264
2024-04-02,0.17168058247804266
2024-04-03,0.17293620673531615
2024-04-04,0.1698740721828967
2024-04-05,0.166009331063046
2024-04-08,0.16048012587233348
2024-04-09,0.16294035964118897
2024-04-10,0.16600553605226545
2024-04-11,0.16293873572603906
2024-04-12,0.22157446784320617
2024-04-15,0.2221332654061521
2024-04-16,0.23029348319047152
2024-04-17,0.22093556979354867
2024-04-18,0.21387045237713412
2024-04-19,0.2057241901187121
2024-04-22,0.21727794457790695
2024-04-23,0.22325795215400504
2024-04-24,0.22692507662221906
2024-04-25,0.2263456003548556
2024-04-26,0.23097147096557188
2024-04-29,0.2336846182357752
2024-04-30,0.2312018935908614
2024-05-01,0.22319913709510616
2024-05-02,0.28324739857587394
2024-05-03,0.27264253519948056
2024-05-06,0.26235701705881626
2024-05-07,0.25132459489671916
2024-05-08,0.2502705152430066
2024-05-09,0.25809733512766075
2024-05-10,0.263429410658719
2024-05-13,0.26205182540863936
2024-05-14,0.25397987243086806
2024-05-15,0.24683670391576695
2024-05-16,0.23970254566858484
2024-05-17,0.23663050690897827
2024-05-20,0.22754660445719682
2024-05-21,0.2353930993041215
2024-05-22,0.2295403337106575
2024-05-23,0.237147614788764
2024-05-24,0.22789441502590624
2024-05-28,0.21916676937893667
2024-05-29,0.2227485919147414
2024-05-30,0.21581958298541865
2024-05-31,0.20781677121926423
2024-06-03,0.20009179593376636
2024-06-04,0.19560981877196246
2024-06-05,0.18938101594404863
2024-06-06,0.18222241025735555
2024-06-07,0.20456248336388566
